Episode,Snake 1 Reward,Snake 2 Reward
1,960.0,652.5
2,445.0,245.0
3,-23.333333333333332,57.5
4,95.0,177.0
5,243.0,276.6666666666667
6,558.3333333333334,261.42857142857144
7,-24.285714285714285,40.0
8,226.875,196.66666666666666
9,30.555555555555557,68.5
10,52.0,33.18181818181818
11,72.72727272727273,137.08333333333334
12,-11.25,98.84615384615384
13,233.46153846153845,79.28571428571429
14,-3.9285714285714284,33.0
15,0.6666666666666666,4.6875
16,29.0625,70.58823529411765
17,133.8235294117647,85.0
18,321.6666666666667,164.21052631578948
19,15.263157894736842,44.25
20,47.0,-44.285714285714285
21,60.0,70.9090909090909
22,-27.5,16.73913043478261
23,142.6086956521739,114.58333333333333
24,36.041666666666664,84.4
25,-12.4,24.423076923076923
26,21.923076923076923,7.222222222222222
27,17.962962962962962,28.035714285714285
28,63.57142857142857,33.44827586206897
29,-8.96551724137931,8.333333333333334
30,-16.666666666666668,1.6129032258064515
31,57.096774193548384,65.3125
32,70.625,17.87878787878788
33,1.9696969696969697,24.264705882352942
34,73.38235294117646,19.428571428571427
35,44.285714285714285,56.111111111111114
36,-5.694444444444445,18.513513513513512
37,80.4054054054054,23.289473684210527
38,2.1052631578947367,28.846153846153847
39,29.102564102564102,3.875
40,105.75,28.29268292682927
41,20.121951219512194,24.404761904761905
42,34.285714285714285,46.51162790697674
43,2.2093023255813953,6.704545454545454
44,117.8409090909091,109.33333333333333
45,-10.555555555555555,3.9130434782608696
46,17.5,16.170212765957448
47,-2.3404255319148937,8.229166666666666
48,51.770833333333336,31.020408163265305
49,29.79591836734694,28.3
