Episode,Snake 1 Reward,Snake 2 Reward
1,285.0,637.5
2,-212.5,60.0
3,228.33333333333334,126.25
4,-106.25,3.0
5,-100.0,8.333333333333334
6,-37.5,38.57142857142857
7,16.428571428571427,28.125
8,47.5,96.11111111111111
9,-43.888888888888886,4.5
10,65.0,107.27272727272727
11,-10.454545454545455,89.58333333333333
12,-44.583333333333336,30.0
13,-35.38461538461539,13.571428571428571
14,-35.714285714285715,3.3333333333333335
15,-30.0,-31.5625
16,44.0625,32.94117647058823
17,-15.0,43.333333333333336
18,-27.77777777777778,2.6315789473684212
19,-17.105263157894736,-6.0
20,-23.75,16.666666666666668
21,-22.857142857142858,13.181818181818182
22,-3.8636363636363638,36.08695652173913
23,-15.869565217391305,14.583333333333334
24,-21.041666666666668,1.8
25,-1.6,16.53846153846154
26,-20.96153846153846,14.444444444444445
27,-11.481481481481481,16.071428571428573
28,-19.285714285714285,17.06896551724138
29,-18.103448275862068,-8.5
30,-16.666666666666668,1.6129032258064515
31,-14.03225806451613,13.90625
32,-16.40625,10.454545454545455
33,-12.878787878787879,7.205882352941177
34,-16.029411764705884,12.714285714285714
35,-9.0,14.722222222222221
36,-14.722222222222221,6.216216216216216
37,-13.513513513513514,1.3157894736842106
38,-13.68421052631579,7.564102564102564
39,-13.717948717948717,8.625
40,-12.75,4.7560975609756095
41,-13.292682926829269,6.666666666666667
42,-12.976190476190476,-3.8372093023255816
43,-11.627906976744185,1.1363636363636365
44,-11.590909090909092,3.3333333333333335
45,-11.88888888888889,8.478260869565217
46,1.8478260869565217,17.97872340425532
47,-10.851063829787234,6.041666666666667
48,-2.3958333333333335,21.93877551020408
49,-10.204081632653061,1.0
50,-19.0,0.9803921568627451
51,-1.5686274509803921,13.75
52,-6.923076923076923,7.547169811320755
53,-9.81132075471698,3.611111111111111
54,-10.092592592592593,-2.0
55,-9.272727272727273,4.464285714285714
56,-4.910714285714286,7.719298245614035
57,2.192982456140351,7.672413793103448
58,-1.0344827586206897,-1.1016949152542372
59,-6.016949152542373,12.25
60,-5.666666666666667,18.60655737704918
61,-8.688524590163935,5.483870967741935
62,-8.306451612903226,3.888888888888889
63,-4.761904761904762,3.515625
64,-6.484375,10.384615384615385
65,-1.6923076923076923,7.348484848484849
66,-5.454545454545454,3.656716417910448
67,-6.865671641791045,3.6029411764705883
68,4.1911764705882355,10.507246376811594
69,-2.028985507246377,10.428571428571429
70,-7.142857142857143,0.704225352112676
71,-7.183098591549296,2.0833333333333335
72,-6.111111111111111,6.6438356164383565
73,-6.917808219178082,1.9594594594594594
74,-5.472972972972973,9.733333333333333
75,-2.7333333333333334,0.6578947368421053
76,-11.907894736842104,1.948051948051948
77,-11.03896103896104,2.5
78,5.256410256410256,14.050632911392405
79,-6.329113924050633,-0.0625
80,-1.875,12.160493827160494
81,-6.3580246913580245,1.7682926829268293
82,0.12195121951219512,19.63855421686747
83,-6.024096385542169,1.130952380952381
84,-6.845238095238095,0.9411764705882353
85,-6.647058823529412,7.383720930232558
86,2.7906976744186047,8.333333333333334
87,-5.747126436781609,-0.056818181818181816
88,-5.681818181818182,0.5617977528089888
89,-4.157303370786517,4.333333333333333
90,-5.944444444444445,-2.912087912087912
91,-5.714285714285714,7.989130434782608
92,-1.4130434782608696,0.9139784946236559
93,-4.139784946236559,4.095744680851064
94,-8.03191489361702,3.6315789473684212
95,-1.9473684210526316,0.20833333333333334
96,-4.635416666666667,5.618556701030927
97,-5.154639175257732,-0.05102040816326531
98,-1.9387755102040816,6.8686868686868685
99,-3.888888888888889,9.8
100,-5.75,6.8316831683168315
101,-1.0396039603960396,4.754901960784314
102,-5.0,1.4563106796116505
103,-4.854368932038835,1.4423076923076923
104,-5.048076923076923,2.761904761904762
105,-4.809523809523809,0.42452830188679247
106,-5.235849056603773,-1.6355140186915889
107,-4.672897196261682,-0.046296296296296294
108,-3.7962962962962963,8.073394495412844
109,-0.9174311926605505,9.5
110,-3.909090909090909,3.963963963963964
111,-4.63963963963964,7.098214285714286
112,-3.9732142857142856,4.247787610619469
113,-4.513274336283186,0.3508771929824561
114,-2.763157894736842,-0.9565217391304348
115,-1.0869565217391304,5.474137931034483
116,-4.655172413793103,2.8205128205128207
117,-4.401709401709402,1.694915254237288
118,-3.8135593220338984,5.378151260504202
119,-1.0084033613445378,-1.0416666666666667
120,-4.25,1.2396694214876034
121,0.6198347107438017,5.040983606557377
122,-1.4344262295081966,3.048780487804878
123,-4.065040650406504,0.7661290322580645
124,1.6935483870967742,8.72
125,-1.96,6.26984126984127
126,-0.47619047619047616,4.291338582677166
127,-2.8346456692913384,1.484375
128,-0.703125,6.782945736434108
129,-2.7906976744186047,6.3076923076923075
130,-1.3076923076923077,4.1603053435114505
131,0.26717557251908397,0.6060606060606061
132,1.0606060606060606,7.969924812030075
133,-2.293233082706767,6.268656716417911
134,0.8582089552238806,4.0
135,-3.8518518518518516,5.0
136,-3.713235294117647,-3.321167883211679
137,-3.832116788321168,2.101449275362319
138,-3.6231884057971016,0.3597122302158273
139,-0.1079136690647482,9.178571428571429
140,-3.607142857142857,0.3191489361702128
141,-3.723404255319149,2.4295774647887325
142,-5.633802816901408,1.013986013986014
143,-2.097902097902098,5.486111111111111
144,-3.5069444444444446,0.6896551724137931
145,-2.9655172413793105,-1.4726027397260273
146,-3.8013698630136985,3.945578231292517
147,-3.061224489795918,0.13513513513513514
148,-3.310810810810811,4.026845637583893
149,-0.40268456375838924,3.933333333333333
150,-3.3666666666666667,0.6622516556291391
151,-3.543046357615894,2.2697368421052633
152,-3.4539473684210527,1.9607843137254901
153,-3.3986928104575163,1.5584415584415585
154,-3.2467532467532467,0.3225806451612903
155,-3.3225806451612905,1.5384615384615385
156,-1.0256410256410255,2.8343949044585988
157,-3.1847133757961785,0.31645569620253167
158,1.2974683544303798,3.207547169811321
159,-4.433962264150943,2.46875
160,5.4375,10.559006211180124
161,-3.198757763975155,0.8950617283950617
162,-1.6358024691358024,2.7607361963190185
163,-2.0552147239263805,3.597560975609756
164,-1.4939024390243902,4.636363636363637
165,-2.515151515151515,1.8072289156626506
166,-1.2048192771084338,4.940119760479042
167,-3.0838323353293413,0.8630952380952381
168,-2.2023809523809526,5.562130177514793
169,-2.9585798816568047,0.29411764705882354
170,-2.7058823529411766,2.8362573099415203
171,-0.38011695906432746,2.005813953488372
172,-2.645348837209302,2.1098265895953756
173,-2.398843930635838,5.086206896551724
174,1015.0,427.5
175,702.5,605.0
176,220.0,41.25
177,78.75,74.0
178,493.0,140.0
179,150.83333333333334,82.85714285714286
180,162.85714285714286,231.25
181,208.75,205.0
182,511.6666666666667,321.5
183,64.5,17.272727272727273
184,152.72727272727272,90.0
185,40.0,66.92307692307692
186,-62.69230769230769,25.0
187,278.57142857142856,-152.0
188,201.33333333333334,-28.4375
189,20.9375,-18.823529411764707
190,41.470588235294116,106.38888888888889
191,-52.77777777777778,5.0
192,1.3157894736842106,-3.75
193,13.75,32.61904761904762
194,97.61904761904762,96.13636363636364
195,-23.181818181818183,23.26086956521739
196,212.82608695652175,108.125
197,63.125,23.8
198,-18.2,16.73076923076923
199,75.57692307692308,90.37037037037037
200,1.1111111111111112,15.357142857142858
201,36.785714285714285,51.206896551724135
202,203.79310344827587,72.0
203,122.16666666666667,37.58064516129032
204,35.16129032258065,13.28125
205,22.65625,38.18181818181818
206,-3.484848484848485,5.735294117647059
207,13.823529411764707,-5.0
208,20.857142857142858,46.52777777777778
209,-1.9444444444444444,30.54054054054054
210,48.24324324324324,51.05263157894737
211,-1.4473684210526316,3.717948717948718
212,88.33333333333333,85.625
213,-11.375,13.292682926829269
214,2910.0,685.0
215,717.5,290.0
216,503.3333333333333,381.25
217,2280.0,182.5
218,330.0,338.3333333333333
219,655.0,105.0
220,-16.25,129.0
